timestamp(ms),X,Y,Z,class
31021,-2.35,-1.45,-9.96,0
31033,-2.35,-1.45,-9.92,0
31045,-2.43,-1.49,-9.96,0
31057,-2.35,-1.45,-9.96,0
31069,-2.39,-1.45,-9.92,0
31081,-2.35,-1.53,-9.92,0
31093,-2.35,-1.49,-9.92,0
31105,-2.39,-1.45,-9.92,0
31117,-2.39,-1.49,-9.92,0
31129,-2.39,-1.45,-9.96,0
31141,-2.35,-1.45,-9.96,0
31153,-2.39,-1.49,-9.92,0
31165,-2.43,-1.49,-9.92,0
31177,-2.31,-1.45,-9.92,0
31189,-2.35,-1.41,-9.92,0
31201,-2.39,-1.49,-9.92,0
31213,-2.43,-1.49,-9.92,0
31225,-2.35,-1.45,-9.89,0
31237,-2.35,-1.53,-9.92,0
31249,-2.35,-1.45,-9.92,0
31261,-2.35,-1.49,-9.96,0
31273,-2.35,-1.45,-9.96,0
31285,-2.35,-1.45,-9.92,0
31297,-2.35,-1.49,-9.96,0
31309,-2.39,-1.49,-9.96,0
31321,-2.35,-1.49,-9.92,0
31333,-2.39,-1.41,-9.96,0
31345,-2.39,-1.45,-9.92,0
31357,-2.47,-1.45,-9.96,0
31369,-2.35,-1.45,-9.89,0
31381,-2.39,-1.45,-9.92,0
31393,-2.35,-1.49,-9.92,0
31405,-2.43,-1.45,-9.92,0
31417,-2.39,-1.45,-9.96,0
31429,-2.39,-1.45,-9.92,0
31441,-2.35,-1.49,-9.96,0
31453,-2.31,-1.49,-9.92,0
31465,-2.31,-1.45,-9.92,0
31477,-2.35,-1.49,-9.92,0
31489,-2.35,-1.45,-9.89,0
31501,-2.39,-1.45,-9.96,0
31513,-2.39,-1.49,-9.92,0
31525,-2.43,-1.49,-9.92,0
31537,-2.43,-1.45,-9.96,0
31549,-2.35,-1.45,-9.96,0
31561,-2.31,-1.49,-9.85,0
31573,-2.39,-1.45,-9.92,0
31585,-2.43,-1.41,-9.96,0
31597,-2.35,-1.45,-9.96,0
31609,-2.35,-1.45,-9.96,0
31621,-2.35,-1.45,-9.96,0
31633,-2.35,-1.45,-9.96,0
31645,-2.43,-1.45,-9.96,0
31657,-2.39,-1.49,-9.92,0
31669,-2.35,-1.49,-9.96,0
31681,-2.31,-1.41,-9.96,0
31693,-2.39,-1.45,-9.92,0
31705,-2.35,-1.45,-9.96,0
31717,-2.35,-1.49,-9.92,0
31729,-2.35,-1.53,-9.92,0
31741,-2.35,-1.45,-9.92,0
31753,-2.39,-1.45,-9.96,0
31765,-2.35,-1.49,-9.92,0
31777,-2.35,-1.45,-9.92,0
31789,-2.43,-1.49,-9.89,0
31801,-2.39,-1.45,-9.92,0
31813,-2.35,-1.45,-9.92,0
31825,-2.35,-1.45,-10.0,0
31837,-2.39,-1.45,-9.92,0
31849,-2.43,-1.49,-9.92,0
31861,-2.31,-1.49,-9.92,0
31873,-2.39,-1.45,-9.96,0
31885,-2.39,-1.53,-9.96,0
31897,-2.35,-1.45,-9.92,0
31909,-2.35,-1.45,-9.96,0
31921,-2.35,-1.45,-9.96,0
31933,-2.39,-1.53,-9.96,0
31945,-2.39,-1.49,-9.92,0
31957,-2.31,-1.45,-9.96,0
31969,-2.39,-1.45,-9.92,0
31981,-2.43,-1.49,-9.92,0
31993,-2.35,-1.45,-9.92,0
32005,-2.39,-1.45,-9.92,0
32017,-2.39,-1.45,-9.96,0
32029,-2.39,-1.45,-9.96,0
32041,-2.35,-1.45,-9.96,0
32053,-2.31,-1.49,-9.96,0
32065,-2.35,-1.53,-9.92,0
32077,-2.39,-1.45,-9.92,0
32089,-2.39,-1.45,-9.92,0
32101,-2.43,-1.53,-9.92,0
32113,-2.39,-1.49,-9.96,0
32125,-2.31,-1.49,-9.89,0
32137,-2.47,-1.53,-9.92,0
32149,-2.35,-1.45,-9.96,0
32161,-2.31,-1.45,-9.96,0
32173,-2.39,-1.45,-9.96,0
32185,-2.31,-1.49,-9.92,0
32197,-2.39,-1.45,-9.92,0
32209,-2.39,-1.45,-9.96,0
32221,-2.39,-1.45,-9.92,0
32233,-2.35,-1.49,-9.92,0
32245,-2.31,-1.45,-9.92,0
32257,-2.39,-1.49,-9.89,0
32269,-2.35,-1.49,-9.96,0
32281,-2.35,-1.49,-9.96,0
32293,-2.39,-1.53,-9.92,0
